4.001569e+002,7.641290e+001
4.006390e+002,7.611241e+001
4.011211e+002,7.595854e+001
4.016032e+002,7.587762e+001
4.020853e+002,7.582464e+001
4.025674e+002,7.578603e+001
4.030496e+002,7.576651e+001
4.035317e+002,7.577535e+001
4.040138e+002,7.581181e+001
4.044959e+002,7.586007e+001
4.049780e+002,7.589201e+001
4.054601e+002,7.587895e+001
4.059423e+002,7.580650e+001
4.064244e+002,7.568449e+001
4.069065e+002,7.554113e+001
4.073886e+002,7.540620e+001
4.078707e+002,7.529577e+001
4.083528e+002,7.520825e+001
4.088350e+002,7.511377e+001
4.093171e+002,7.500862e+001
4.097992e+002,7.492294e+001
4.102813e+002,7.487719e+001
4.107634e+002,7.482761e+001
4.112455e+002,7.479369e+001
4.117277e+002,7.480691e+001
4.122098e+002,7.485574e+001
4.126919e+002,7.490988e+001
4.131740e+002,7.496178e+001
4.136561e+002,7.498101e+001
4.141382e+002,7.504273e+001
4.146204e+002,7.506055e+001
4.151025e+002,7.508395e+001
4.155846e+002,7.511671e+001
4.160667e+002,7.514467e+001
4.165488e+002,7.513380e+001
4.170309e+002,7.503975e+001
4.175131e+002,7.483881e+001
4.179952e+002,7.453525e+001
4.184773e+002,7.421670e+001
4.189594e+002,7.401631e+001
4.194415e+002,7.405555e+001
4.199236e+002,7.425563e+001
4.204058e+002,7.448360e+001
4.208879e+002,7.463699e+001
4.213700e+002,7.469555e+001
4.218521e+002,7.468524e+001
4.223342e+002,7.462752e+001
4.228163e+002,7.451699e+001
4.232985e+002,7.441196e+001
4.237806e+002,7.435802e+001
4.242627e+002,7.430151e+001
4.247448e+002,7.424084e+001
4.252269e+002,7.417708e+001
4.257090e+002,7.410227e+001
4.261912e+002,7.398385e+001
4.266733e+002,7.387865e+001
4.271554e+002,7.379532e+001
4.276375e+002,7.373914e+001
4.281196e+002,7.371098e+001
4.286017e+002,7.371448e+001
4.290839e+002,7.374020e+001
4.295660e+002,7.380504e+001
4.300481e+002,7.388097e+001
4.305302e+002,7.399495e+001
4.310123e+002,7.412008e+001
4.314944e+002,7.425003e+001
4.319766e+002,7.435931e+001
4.324587e+002,7.442744e+001
4.329408e+002,7.445377e+001
4.334229e+002,7.443423e+001
4.339050e+002,7.440057e+001
4.343871e+002,7.436703e+001
4.348693e+002,7.437106e+001
4.353514e+002,7.443615e+001
4.358335e+002,7.455730e+001
4.363156e+002,7.470516e+001
